,LE,T_air,P_air,RH_air,wind_speed,wind_dir,Enet,ground_heat_flux
2015-06-07 21:00:00,27.5791340644,3.456939,1006.66,73.97485,2.44439259014,329.847647525,107.26596562,10.37624
2015-06-07 22:00:00,18.1304667455,2.914528,1006.636,76.84155,2.57443057456,349.996359377,52.3022584081,11.53177
2015-06-07 22:30:00,8.87323736769,2.464878,1006.574,79.39198,3.37224661861,346.415334902,36.4442778617,10.89964
2015-06-07 23:30:00,10.8638653349,2.290895,1006.502,76.09211,1.25942603563,256.159772966,33.3240821684,6.390723
2015-06-08 00:30:00,4.6073477133,1.683555,1006.333,76.16534,2.66836747788,233.916017613,2.84030356853,4.443498
2015-06-08 02:30:00,5.10478690722,1.164906,1006.125,78.27099,2.19091321035,246.992585038,1.25029798242,0.6057743
2015-06-08 03:00:00,8.42102519508,1.599405,1005.995,76.75246,0.335127244413,50.2330926836,31.4621743759,0.4102165
2015-06-08 04:30:00,11.7908495176,2.109933,1005.503,73.39762,1.15582101056,195.992287659,46.163187172,2.646549
2015-06-08 05:30:00,14.2304935467,2.098794,1005.121,75.28011,1.90189547835,171.6294953,62.4073969434,3.977599
2015-06-08 06:00:00,13.7173083804,2.387794,1004.902,73.39823,1.70332095361,211.434311741,75.0661529521,4.321546
2015-06-08 06:30:00,14.4094374231,2.364905,1004.629,75.49971,2.85290120564,164.405963167,80.3475170754,4.70658
2015-06-08 07:30:00,27.8819643047,2.890511,1004.264,76.33003,3.86628706077,174.475251938,164.875274562,5.42763
2015-06-08 08:00:00,34.5262187256,3.150905,1004.062,76.40103,4.34142635341,166.625666763,302.412601882,5.955547
2015-06-08 09:30:00,46.8111544393,3.466705,1003.693,71.61193,3.84367893375,157.965632416,174.760603966,12.24505
2015-06-08 11:30:00,94.1845462308,4.504772,1003.457,69.97789,4.00789944878,166.457730006,423.306356355,11.29831
2015-06-08 12:00:00,51.4175709797,4.019978,1003.223,70.22289,4.13940459399,153.166505184,251.214440547,12.42894
2015-06-08 12:30:00,66.1044725653,4.354667,1003.069,69.58375,3.50321641369,165.949993546,282.304656583,12.89476
2015-06-08 13:00:00,88.5016703461,4.689955,1002.924,68.99925,3.82672987142,165.044059214,354.714241413,13.12676
2015-06-08 15:30:00,101.031069876,5.715327,1002.356,66.12123,3.24540720576,214.502339782,539.81834193,15.12071
2015-06-08 16:00:00,84.8828506019,5.385894,1002.357,68.61785,2.82719677781,236.090232856,294.703348777,16.41764
2015-06-08 16:30:00,30.2870706891,4.160233,1002.296,79.86528,3.68574410591,321.794746659,196.794673204,17.55879
2015-06-08 17:00:00,29.5106196659,4.214389,1002.192,80.79469,3.01485710147,314.11339625,189.655923111,15.72358
2015-06-08 17:30:00,40.2724605232,4.283272,1001.994,81.17482,3.17082181161,312.377663383,263.565211529,13.8106
2015-06-08 18:00:00,45.7591739623,4.31625,1001.814,81.46962,3.11608045518,313.720907064,257.861142274,13.33013
2015-06-08 18:30:00,31.7983529531,4.174905,1001.74,82.15872,2.39558845107,308.478041583,206.345714102,13.93662
2015-06-08 19:00:00,19.9437476697,3.925478,1001.628,83.1233,2.53071452087,331.572301449,157.272173268,14.4348
2015-06-08 20:00:00,24.4264270485,4.074194,1001.368,81.09562,1.93415454868,311.240499084,142.06343811,13.1133
2015-06-08 20:30:00,18.9499532298,3.827989,1001.344,81.72255,2.7005549506,304.482403238,90.0013297708,12.75699
2015-06-08 21:00:00,18.3641889478,3.606966,1001.329,81.30716,2.13233040754,300.328136273,98.7885380824,12.03917
