,LE,T_air,wind_speed,Enet,RH_air
2015-06-11 14:00:00,23.5188294601,5.420011,6.27926092944,152.163915598,74.62793
2015-06-11 14:30:00,20.1134484831,4.792911,6.88901788558,115.300880458,76.41516
2015-06-11 15:00:00,8.8639608025,4.246333,5.08736443858,84.0822869959,80.74937
2015-06-11 16:00:00,3.74435086812,2.382133,5.68957827733,60.9755463105,90.81834
2015-06-11 17:00:00,3.14220927384,1.872172,7.29969161075,75.5826814789,90.24306
2015-06-11 17:30:00,7.3746522404,2.321294,6.27624924645,74.6562449968,83.03577
2015-06-11 19:00:00,5.39671921546,2.279117,6.7212321873,39.40269974,82.62505
2015-06-11 19:30:00,3.73240620985,1.808617,6.23792202081,32.5548653493,86.02419
2015-06-11 20:30:00,5.14358101742,1.774517,6.13312833704,32.185688987,83.35056
2015-06-11 22:30:00,0.727133519657,1.419511,5.05367667298,11.579905295,89.9476
2015-06-11 23:00:00,2.17195486074,1.795339,6.21174095023,11.371874511,85.27564
2015-06-11 23:30:00,3.93330682131,1.789672,6.99642110389,6.21537962501,82.69964
2015-06-12 00:00:00,5.96174293159,2.091461,6.41243153315,11.8871115088,78.86718
2015-06-12 01:00:00,4.78215983933,2.600806,2.5041403937,16.9370389896,76.14503
2015-06-12 02:00:00,8.3898600236,2.356572,4.88000018864,25.437045186,77.95939
2015-06-12 02:30:00,4.80107210199,2.294694,5.50626245393,19.7635455796,78.25291
2015-06-12 03:00:00,5.15911604063,2.489694,5.01142418682,21.7950583724,77.14708
2015-06-12 03:30:00,3.16840917398,2.638794,3.73389835083,7.58659470837,77.56754
2015-06-12 05:00:00,4.0353396449,2.62895,5.2569614314,21.0425519492,77.62518
2015-06-12 05:30:00,8.075539169,3.158544,5.85187852007,52.8439671822,75.84413
2015-06-12 06:30:00,8.94271662432,3.492455,6.92581848191,58.8392800387,75.5323
2015-06-12 07:00:00,8.70698122804,3.089533,7.01672258243,38.4237002548,76.32993
2015-06-12 07:30:00,7.76631706152,3.030405,6.33012708034,35.0402077689,75.80215
2015-06-12 08:00:00,5.48066138198,3.140644,5.01244986912,55.2264949465,76.11559
2015-06-12 09:00:00,10.9574657975,3.276183,5.76837306404,89.4242530642,77.46508
2015-06-12 09:30:00,9.80306187694,3.259367,5.05832613047,92.896711767,75.40794
2015-06-12 10:30:00,6.78802359536,3.059133,5.53110191744,92.5399881811,80.50906
2015-06-12 11:30:00,3.41410751292,3.266955,5.5539183232,53.3270684636,78.15151
2015-06-12 12:00:00,8.46149315189,3.588561,4.31350943355,78.1191333884,77.24474
2015-06-12 12:30:00,7.86368225468,3.781106,3.23581491478,56.8585459987,76.04243
2015-06-12 13:00:00,16.5659213108,3.80285,3.13289007113,67.0668253395,74.3051
2015-06-12 13:30:00,12.9357705705,3.892411,4.15241815104,85.1400524171,73.00021
2015-06-12 14:00:00,16.9194850823,4.113544,5.09537455971,94.424244519,71.08389
2015-06-12 14:30:00,16.9161777434,4.008172,5.19742209633,95.8394599296,70.42607
2015-06-12 15:00:00,21.5204383521,4.060822,5.40081465019,123.712923347,71.06149
2015-06-12 15:30:00,22.6076153013,3.859728,6.37804365533,100.91062982,72.37684
2015-06-12 16:00:00,14.109638838,3.7383,5.51661819497,69.5963584005,71.95169
2015-06-12 16:30:00,11.1558172314,3.492478,5.61107357703,63.5404264283,73.59166
2015-06-12 17:00:00,14.6713453865,3.732528,4.85179583114,43.859185944,71.2328
2015-06-12 18:00:00,15.2297999828,3.246722,5.74383902278,28.3597079523,74.84239
2015-06-12 18:30:00,5.94575687498,2.918244,5.65073694009,27.5989293206,78.21215
2015-06-12 19:00:00,4.53217976984,2.442894,5.21458884503,23.0202358385,83.23336
2015-06-12 21:30:00,32.8863092281,4.583589,2.94113760773,54.8680287088,61.04744
2015-06-12 22:00:00,23.7036896552,4.659472,3.70254810235,38.7256851885,61.43881
2015-06-12 22:30:00,28.7696272482,4.661028,2.76383010091,35.7587087488,61.88209
2015-06-12 23:30:00,22.1264457044,4.459278,3.84950397063,49.3196979649,66.73457
2015-06-13 00:00:00,21.4263685255,3.989883,5.33274915949,67.0955058502,70.72527
2015-06-13 01:30:00,2.96817054244,2.7174,3.34792462374,7.42558321523,78.60067
