,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-08-13 09:30:16.600,-1.23358,0.825449,0.070403,9.506470798,395.35,6.01179
2018-08-13 09:30:16.700,-1.47438,0.808104,-0.556592,9.44944370371,395.378,6.01986
2018-08-13 09:30:16.800,-0.884629,1.04788,-0.771627,9.42764074693,395.324,5.96071
2018-08-13 09:30:16.900,-1.05911,0.951971,-0.309416,9.34379105948,395.419,5.96998
2018-08-13 09:30:17.000,-1.28154,0.810144,-0.436958,9.3957764,395.425,5.94339
2018-08-13 09:30:17.100,-1.10808,0.681583,-0.436958,9.63564166269,395.515,5.9239
2018-08-13 09:30:17.200,-1.09176,0.569346,-0.46068,9.58363425954,395.546,5.91665
2018-08-13 09:30:17.300,-1.12441,0.52037,-0.472414,9.53163163919,395.478,5.9085
2018-08-13 09:30:17.400,-0.977479,0.85606,-0.329313,9.47795653169,395.459,5.93729
2018-08-13 09:30:17.500,-0.94789,1.19175,-0.329313,9.61215385611,395.257,5.95306
2018-08-13 09:30:17.600,-1.45704,1.0489,-0.0374972,9.61047619296,395.318,5.96677
2018-08-13 09:30:17.700,-1.28052,1.17644,0.117848,9.63731940048,395.466,5.96782
2018-08-13 09:30:17.800,-1.42439,1.20705,0.0344362,9.37062160575,395.526,5.96054
2018-08-13 09:30:17.900,-1.47336,1.25807,-0.349209,9.69100963778,395.382,5.96122
2018-08-13 09:30:18.000,-0.978499,1.11216,-0.265542,9.61047619296,395.372,5.96807
2018-08-13 09:30:18.100,-1.04074,1.49683,-0.237483,9.47795653169,395.377,5.96698
2018-08-13 09:30:18.200,-0.770352,1.54376,0.0265287,9.47795653169,395.223,5.97456
2018-08-13 09:30:18.300,-1.1693,1.49785,0.158152,9.45279807941,395.287,5.98465
2018-08-13 09:30:18.400,-1.32745,1.60702,0.257889,9.34714480809,395.419,5.99602
2018-08-13 09:30:18.500,-1.44071,1.48152,0.157897,9.42596363125,395.384,6.00334
2018-08-13 09:30:18.600,-1.4101,1.40092,0.0505065,9.55847110408,395.343,5.99262
2018-08-13 09:30:18.700,-1.36214,1.32133,-0.0216821,9.61550919732,395.539,5.98923
